CMDLINE C:\Python\311\python.exe Vamprior_4branch.py
MEM 782.703125 1721046158.3337
MEM 782.703125 1721046158.4346
MEM 782.703125 1721046158.5355
MEM 782.703125 1721046158.6366
MEM 782.703125 1721046158.7375
MEM 782.703125 1721046158.8383
MEM 782.703125 1721046158.9391
MEM 782.703125 1721046159.0396
MEM 782.703125 1721046159.1401
MEM 782.703125 1721046159.2410
MEM 772.550781 1721046159.3585
MEM 772.585938 1721046159.4846
MEM 772.718750 1721046159.5948
MEM 772.718750 1721046159.7049
MEM 772.718750 1721046159.8056
MEM 772.718750 1721046159.9092
MEM 772.718750 1721046160.0098
MEM 772.718750 1721046160.1139
MEM 773.066406 1721046160.2147
MEM 773.308594 1721046160.3153
MEM 774.355469 1721046160.4161
MEM 775.226562 1721046160.5169
MEM 776.109375 1721046160.6175
MEM 778.656250 1721046160.7185
MEM 779.312500 1721046160.8194
MEM 780.089844 1721046160.9204
MEM 781.003906 1721046161.0213
MEM 788.636719 1721046161.1219
MEM 790.652344 1721046161.2228
MEM 792.433594 1721046161.3234
MEM 792.570312 1721046161.4239
MEM 792.585938 1721046161.5243
MEM 792.597656 1721046161.6249
MEM 792.609375 1721046161.7256
MEM 792.628906 1721046161.8258
MEM 792.636719 1721046161.9259
MEM 792.656250 1721046162.0265
MEM 792.667969 1721046162.1272
MEM 792.679688 1721046162.2278
MEM 792.691406 1721046162.3284
MEM 792.710938 1721046162.4291
MEM 792.722656 1721046162.5296
MEM 792.738281 1721046162.6302
MEM 792.753906 1721046162.7308
MEM 792.765625 1721046162.8314
MEM 792.781250 1721046162.9320
MEM 792.792969 1721046163.0326
MEM 792.867188 1721046163.1331
MEM 792.867188 1721046163.2338
MEM 792.867188 1721046163.3343
MEM 792.867188 1721046163.4349
MEM 792.867188 1721046163.5353
MEM 792.871094 1721046163.6358
MEM 792.882812 1721046163.7360
MEM 792.894531 1721046163.8365
MEM 792.906250 1721046163.9371
MEM 792.917969 1721046164.0377
MEM 792.929688 1721046164.1383
MEM 792.941406 1721046164.2389
MEM 792.949219 1721046164.3395
MEM 792.957031 1721046164.4400
MEM 792.968750 1721046164.5407
MEM 792.976562 1721046164.6412
MEM 792.984375 1721046164.7415
MEM 792.992188 1721046164.8421
MEM 793.000000 1721046164.9427
MEM 793.007812 1721046165.0433
MEM 793.019531 1721046165.1439
